Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9315843621399177,0.9238578680203046,0.9400826446280992,0.931899641577061
Random Forest,0.9603909465020576,0.9626168224299065,0.9576446280991735,0.9601242879337131
SVM,0.7978395061728395,0.7860696517412935,0.8161157024793388,0.8008109477952357
Logistic Regression,0.7957818930041153,0.7869346733668342,0.8088842975206612,0.7977585328578706
